Security Group,User Type,Menu Name,Form Name,Auth 
VRS_ADMIN,A,REBATES.REBATE_PROGRAM,rebate_program,M
VRS_ADMIN,A,REBATES.STANDARD_INVOICES,invoices,M
VRS_ADMIN,A,REBATES.TREASURY_INVOICES,treasury_inv,M
VRS_ADMIN,A,REBATES.BATCH_PROCESSES,extract_and_calculate,M
VRS_ADMIN,A,REBATES.BATCH_REVIEW,review,M
VRS_ADMIN,A,REBATES.BATCH_APPROVAL,approve,M
VRS_ADMIN,A,REBATES.BATCH_FINALIZE,finalize,M
VRS_ADMIN,A,REBATES.ACCT_SUMMARY,acct_summary,M
VRS_ADMIN,A,REBATES.UPLOADS,upload,M
VRS_ADMIN,A,REBATES.ATTACH_MULTIPLE,multi_attach,M
VRS_ADMIN,A,REBATES.ON_DEMAND,on_demand_launcher,M
VRS_ADMIN,A,REBATES.ON_DEMAND_PREPAID,on_demand_prepaid,M
VRS_ADMIN,A,SUBSYSTEMS.ACCT_APPROVAL_QUEUE,ap_approval,M
VRS_ADMIN,A,SUBSYSTEMS.SCANBACK_AUDIT,ad_funding,M
VRS_ADMIN,A,SUBSYSTEMS.NDA_DASHBAORD,ndc_upload,M
VRS_ADMIN,A,SUBSYSTEMS.NSA_DASHBOARD,nsa_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.POST_AUDIT_UPLOAD,pa_upload,M
VRS_ADMIN,A,SUBSYSTEMS.COST_CHANGE_FEE_DASHBOARD,cf_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.FREIGHT_DASHBOARD,freight_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.S5S5_DASHBOARD,ss_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.TT_DASHBOARD,tt_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.FRONT_END_DASHBOARD,fe_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.BB_DASHBOARD,bb_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.DG_MEDIA_UPLOAD,dgm_upload,M
VRS_ADMIN,A,SUBSYSTEMS.DG_MEDIA_20,dgm_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.BOPIS_DASHBOARD,bopis_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.TOBACCO_ACCRUAL,tobacco_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.UNSALEABLES,unsale_dashboard,M
VRS_ADMIN,A,SUBSYSTEMS.CONTRACTS,vrs_contracts,M
VRS_ADMIN,A,SUBSYSTEMS.VENDOR_EMAILS,vendor_emails,M
VRS_ADMIN,A,SUBSYSTEMS.WRITE_OFF_UPLOAD,wo_upload,M
VRS_ADMIN,A,HISTORY.HISTORY_EXTRACTS,history_extracts,M
VRS_ADMIN,A,HISTORY.HISTORY_EXTRACTS_OTHER,history_extracts_other,M
VRS_ADMIN,A,HISTORY.DEDUCTIONS_TAKEN,deductions,M
